Datetime,Close,High,Low,Open,Volume
2025-02-19 23:00:00+00:00,8402.2001953125,8419.2001953125,8402.2001953125,8419.2001953125,0
2025-02-19 23:01:00+00:00,8401.2001953125,8401.599609375,8401.2001953125,8401.599609375,0
2025-02-19 23:02:00+00:00,8387.0,8400.099609375,8387.0,8400.099609375,0
2025-02-19 23:03:00+00:00,8387.2998046875,8387.2998046875,8386.599609375,8386.599609375,0
2025-02-19 23:04:00+00:00,8367.5,8388.7001953125,8367.5,8388.7001953125,0
2025-02-19 23:05:00+00:00,8371.7998046875,8371.7998046875,8369.099609375,8369.099609375,0
2025-02-19 23:06:00+00:00,8375.2001953125,8375.2001953125,8372.599609375,8372.599609375,0
2025-02-19 23:07:00+00:00,8367.7998046875,8368.2001953125,8367.7998046875,8368.2001953125,0
2025-02-19 23:08:00+00:00,8361.400390625,8361.400390625,8360.7001953125,8360.7001953125,0
2025-02-19 23:09:00+00:00,8359.400390625,8362.400390625,8359.400390625,8362.400390625,0
2025-02-19 23:10:00+00:00,8369.0,8369.0,8361.2001953125,8361.2001953125,0
2025-02-19 23:11:00+00:00,8373.2998046875,8373.2998046875,8369.2998046875,8369.2998046875,0
2025-02-19 23:12:00+00:00,8370.2001953125,8370.2001953125,8370.2001953125,8370.2001953125,0
2025-02-19 23:13:00+00:00,8367.2001953125,8369.599609375,8367.2001953125,8369.599609375,0
2025-02-19 23:14:00+00:00,8363.5,8366.099609375,8363.5,8366.099609375,0
2025-02-19 23:15:00+00:00,8361.400390625,8365.2998046875,8361.400390625,8365.2998046875,0
2025-02-19 23:16:00+00:00,8362.2998046875,8362.2998046875,8359.099609375,8359.099609375,0
2025-02-19 23:17:00+00:00,8362.5,8362.7001953125,8362.5,8362.7001953125,0
2025-02-19 23:18:00+00:00,8364.7001953125,8364.7001953125,8364.400390625,8364.400390625,0
2025-02-19 23:19:00+00:00,8366.5,8366.7001953125,8366.5,8366.7001953125,0
2025-02-19 23:20:00+00:00,8364.7998046875,8366.400390625,8364.7998046875,8366.400390625,0
2025-02-19 23:21:00+00:00,8355.599609375,8361.400390625,8355.599609375,8361.400390625,0
2025-02-19 23:22:00+00:00,8355.400390625,8356.7998046875,8355.400390625,8356.7998046875,0
2025-02-19 23:23:00+00:00,8349.5,8353.2998046875,8349.5,8353.2998046875,0
2025-02-19 23:24:00+00:00,8347.900390625,8348.400390625,8347.900390625,8348.400390625,0
2025-02-19 23:25:00+00:00,8345.900390625,8347.7998046875,8345.900390625,8347.7998046875,0
2025-02-19 23:26:00+00:00,8349.099609375,8349.099609375,8348.2001953125,8348.2001953125,0
2025-02-19 23:27:00+00:00,8334.7998046875,8340.900390625,8334.7998046875,8340.900390625,0
2025-02-19 23:28:00+00:00,8323.400390625,8324.0,8323.400390625,8324.0,0
2025-02-19 23:29:00+00:00,8320.5,8321.0,8320.5,8321.0,0
2025-02-19 23:30:00+00:00,8332.7001953125,8332.7001953125,8322.599609375,8322.599609375,0
2025-02-19 23:31:00+00:00,8334.5,8334.5,8332.099609375,8332.099609375,0
2025-02-19 23:32:00+00:00,8333.0,8333.5,8333.0,8333.5,0
2025-02-19 23:33:00+00:00,8336.900390625,8337.900390625,8336.900390625,8337.900390625,0
2025-02-19 23:34:00+00:00,8337.599609375,8339.900390625,8337.599609375,8339.900390625,0
2025-02-19 23:35:00+00:00,8339.2001953125,8339.2001953125,8338.7998046875,8338.7998046875,0
2025-02-19 23:36:00+00:00,8345.2998046875,8345.2998046875,8339.2998046875,8339.2998046875,0
2025-02-19 23:37:00+00:00,8347.2998046875,8347.2998046875,8347.0,8347.0,0
2025-02-19 23:38:00+00:00,8345.2001953125,8345.400390625,8345.2001953125,8345.400390625,0
2025-02-19 23:39:00+00:00,8343.7001953125,8343.7001953125,8343.5,8343.5,0
2025-02-19 23:40:00+00:00,8340.2998046875,8343.2001953125,8340.2998046875,8343.2001953125,0
2025-02-19 23:41:00+00:00,8340.099609375,8340.099609375,8338.7998046875,8338.7998046875,0
